current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,divisor_ladder
11,13,2,2,6,1,44,0.022727272727272728,2,6
13,17,4,4,4,1,60,0.016666666666666666,4,4
19,23,4,4,4,2,60,0.03333333333333333,4,6 4
23,29,6,6,3,2,60,0.03333333333333333,6,8 3
29,31,2,2,8,1,44,0.022727272727272728,2,8
31,37,6,6,4,2,60,0.03333333333333333,6,6 4
43,47,4,4,4,3,60,0.05,4,6 6 4
47,53,6,2,3,2,44,0.045454545454545456,6,10 3
59,61,2,2,12,1,44,0.022727272727272728,2,12
89,97,8,2,4,2,44,0.045454545454545456,8,12 4
97,101,4,4,6,1,60,0.016666666666666666,4,6
113,127,14,6,3,8,60,0.13333333333333333,14,8 4 6 6 4 4 16 3
151,157,6,6,4,4,60,0.06666666666666667,6,8 6 8 4
179,181,2,2,18,1,44,0.022727272727272728,2,18
191,193,2,2,14,1,44,0.022727272727272728,2,14
229,233,4,4,8,1,60,0.016666666666666666,4,8
239,241,2,2,20,1,44,0.022727272727272728,2,20
241,251,10,6,4,6,60,0.1,10,6 6 6 6 8 4
269,271,2,2,16,1,44,0.022727272727272728,2,16
283,293,10,4,3,6,60,0.1,10,6 8 8 4 18 3
349,353,4,4,8,2,60,0.03333333333333333,4,12 8
367,373,6,4,4,4,60,0.06666666666666667,6,10 6 8 4
419,421,2,2,24,1,44,0.022727272727272728,2,24
439,443,4,4,8,3,60,0.05,4,16 9 8
601,607,6,6,6,2,60,0.03333333333333333,6,8 6
929,937,8,2,4,4,44,0.09090909090909091,8,16 6 6 4
1103,1109,6,6,6,5,60,0.08333333333333333,6,20 8 8 8 6
1181,1187,6,2,4,5,44,0.11363636363636363,6,8 6 12 8 4
1307,1319,12,2,4,6,44,0.13636363636363635,12,12 8 8 8 12 4
1319,1321,2,2,32,1,44,0.022727272727272728,2,32
1489,1493,4,4,6,3,60,0.05,4,8 8 6
1619,1621,2,2,30,1,44,0.022727272727272728,2,30
1663,1667,4,4,12,2,60,0.03333333333333333,4,16 12
1669,1693,24,4,3,12,60,0.2,24,8 4 16 4 16 6 6 8 4 4 40 3
2053,2063,10,4,4,6,60,0.1,10,8 8 8 6 16 4
2111,2113,2,2,28,1,44,0.022727272727272728,2,28
2131,2137,6,6,8,2,60,0.03333333333333333,6,12 8
2339,2341,2,2,36,1,44,0.022727272727272728,2,36
3119,3121,2,2,40,1,44,0.022727272727272728,2,40
3359,3361,2,2,48,1,44,0.022727272727272728,2,48
3769,3779,10,4,4,8,60,0.13333333333333333,10,16 6 12 8 16 6 14 4
3911,3917,6,2,8,2,44,0.045454545454545456,6,16 8
4799,4801,2,2,42,1,44,0.022727272727272728,2,42
4919,4931,12,2,4,8,44,0.18181818181818182,12,32 8 8 6 6 6 8 4
5881,5897,16,6,4,10,60,0.16666666666666666,16,8 8 6 8 16 6 18 8 16 4
6299,6301,2,2,54,1,44,0.022727272727272728,2,54
6301,6311,10,6,6,8,60,0.13333333333333333,10,8 8 12 8 8 8 12 6
7207,7211,4,4,10,2,60,0.03333333333333333,4,16 10
7523,7529,6,6,8,3,60,0.05,6,36 12 8
7559,7561,2,2,64,1,44,0.022727272727272728,2,64
7789,7793,4,4,10,3,60,0.05,4,16 12 10
8293,8297,4,4,16,1,60,0.016666666666666666,4,16
8831,8837,6,2,6,2,44,0.045454545454545456,6,32 6
11867,11887,20,2,3,14,44,0.3181818181818182,20,24 8 8 6 24 4 8 10 6 8 4 4 64 3
11933,11939,6,6,8,4,60,0.06666666666666667,6,32 16 12 8
12239,12241,2,2,60,1,44,0.022727272727272728,2,60
12253,12263,10,4,4,9,60,0.15,10,8 16 12 8 16 8 12 8 4
12613,12619,6,4,8,4,60,0.06666666666666667,6,16 12 16 8
12799,12809,10,4,6,8,60,0.13333333333333333,10,30 8 8 8 24 8 8 6
13687,13691,4,4,12,3,60,0.05,4,16 15 12
15359,15361,2,2,44,1,44,0.022727272727272728,2,44
16091,16097,6,2,8,3,44,0.06818181818181818,6,24 12 8
17573,17579,6,6,12,2,60,0.03333333333333333,6,16 12
19157,19163,6,2,6,4,44,0.09090909090909091,6,16 12 16 6
21487,21491,4,4,16,2,60,0.03333333333333333,4,20 16
21599,21601,2,2,72,1,44,0.022727272727272728,2,72
21787,21799,12,4,4,10,60,0.16666666666666666,12,12 10 8 8 24 8 8 8 6 4
21839,21841,2,2,80,1,44,0.022727272727272728,2,80
23021,23027,6,2,8,5,44,0.11363636363636363,6,12 16 10 12 8
23159,23167,8,2,6,5,44,0.11363636363636363,8,32 8 8 8 6
24631,24659,28,6,3,18,60,0.3,28,8 24 8 8 12 4 8 8 56 4 18 4 12 16 4 6 32 3
25673,25679,6,6,8,5,60,0.08333333333333333,6,16 12 18 10 8
28591,28597,6,6,10,1,60,0.016666666666666666,6,10
28607,28619,12,2,4,10,44,0.22727272727272727,12,28 8 8 18 12 8 16 8 24 4
29759,29761,2,2,56,1,44,0.022727272727272728,2,56
33599,33601,2,2,84,1,44,0.022727272727272728,2,84
34519,34537,18,4,4,12,60,0.2,18,16 8 8 8 36 6 8 8 24 8 16 4
35279,35281,2,2,90,1,44,0.022727272727272728,2,90
36269,36277,8,2,6,6,44,0.13636363636363635,8,48 8 10 8 8 6
39581,39607,26,2,3,20,44,0.45454545454545453,26,16 4 12 32 4 4 12 8 16 12 24 6 8 4 12 8 8 4 90 3
42433,42437,4,4,9,3,60,0.05,4,12 24 9
42839,42841,2,2,96,1,44,0.022727272727272728,2,96
51721,51749,28,6,4,12,60,0.2,28,8 12 12 6 16 8 20 8 16 6 24 4
55439,55441,2,2,120,1,44,0.022727272727272728,2,120
58309,58313,4,4,16,3,60,0.05,4,32 24 16
60661,60679,18,6,4,16,60,0.26666666666666666,18,12 8 8 8 8 8 12 20 8 6 36 8 8 12 24 4
68099,68111,12,2,6,9,44,0.20454545454545456,12,36 8 8 24 8 8 8 8 6
68659,68669,10,4,6,9,60,0.15,10,12 8 8 8 16 8 16 8 6
70223,70229,6,6,9,2,60,0.03333333333333333,6,80 9
72223,72227,4,4,24,1,60,0.016666666666666666,4,24
81647,81649,2,2,70,1,44,0.022727272727272728,2,70
81899,81901,2,2,108,1,44,0.022727272727272728,2,108
84131,84137,6,2,12,2,44,0.045454545454545456,6,48 12
87649,87671,22,4,4,14,60,0.23333333333333334,22,12 6 12 8 16 8 8 8 8 8 36 6 8 4
88019,88037,18,2,4,12,44,0.2727272727272727,18,48 8 8 16 8 12 16 8 12 6 8 4
91373,91381,8,6,8,6,60,0.1,8,16 16 10 24 16 8
96703,96731,28,4,3,18,60,0.3,28,14 24 4 8 12 4 16 4 32 4 24 12 6 8 8 8 80 3
100799,100801,2,2,126,1,44,0.022727272727272728,2,126
106853,106859,6,6,12,4,60,0.06666666666666667,6,16 16 24 12
110879,110881,2,2,144,1,44,0.022727272727272728,2,144
112573,112577,4,4,14,3,60,0.05,4,32 24 14
122449,122453,4,4,20,2,60,0.03333333333333333,4,24 20
124309,124337,28,4,4,18,60,0.3,28,16 8 16 12 8 12 6 12 8 8 96 8 8 8 6 6 12 4
127679,127681,2,2,112,1,44,0.022727272727272728,2,112
128519,128521,2,2,128,1,44,0.022727272727272728,2,128
138239,138241,2,2,88,1,44,0.022727272727272728,2,88
139439,139457,18,2,4,14,44,0.3181818181818182,18,80 8 8 8 12 6 24 8 8 16 12 8 12 4
143999,144013,14,2,6,10,44,0.22727272727272727,14,96 16 8 8 24 8 8 8 16 6
149767,149771,4,4,15,2,60,0.03333333333333333,4,16 15
157579,157627,48,4,3,30,60,0.5,48,12 6 4 4 60 4 32 4 6 4 48 8 8 8 4 8 24 4 8 16 36 4 8 4 18 32 4 8 48 3
160621,160627,6,6,10,3,60,0.05,6,24 12 10
164371,164377,6,6,10,4,60,0.06666666666666667,6,24 16 16 10
177409,177421,12,4,6,10,60,0.16666666666666666,12,16 8 12 8 8 16 16 8 8 6
185621,185641,20,2,4,16,44,0.36363636363636365,20,8 8 8 40 8 8 24 8 16 8 12 8 12 8 12 4
187367,187373,6,2,12,4,44,0.09090909090909091,6,32 16 16 12
192047,192053,6,2,10,4,44,0.09090909090909091,6,20 16 24 10
197963,197969,6,6,10,5,60,0.08333333333333333,6,60 12 12 16 10
210823,210827,4,4,18,2,60,0.03333333333333333,4,24 18
219371,219377,6,2,10,5,44,0.11363636363636363,6,24 18 16 40 10
222109,222113,4,4,24,2,60,0.03333333333333333,4,32 24
229171,229181,10,6,8,8,60,0.13333333333333333,10,24 12 12 12 32 12 16 8
240733,240739,6,4,8,5,60,0.08333333333333333,6,16 16 12 12 8
242449,242453,4,4,18,3,60,0.05,4,24 24 18
248407,248431,24,4,4,19,60,0.31666666666666665,24,8 12 8 8 24 6 8 8 24 8 24 8 12 8 8 8 32 12 4
252151,252157,6,6,12,5,60,0.08333333333333333,6,16 20 24 16 12
259033,259099,66,4,3,48,60,0.8,66,4 16 12 4 48 4 24 8 8 4 12 8 16 12 8 8 48 4 6 4 4 8 60 4 4 4 12 6 8 12 32 32 4 8 12 4 16 4 44 4 24 12 12 24 4 8 64 3
271043,271057,14,6,6,9,60,0.15,14,18 8 8 8 16 8 48 8 6
274831,274837,6,6,16,3,60,0.05,6,20 28 16
285119,285121,2,2,140,1,44,0.022727272727272728,2,140
287279,287281,2,2,160,1,44,0.022727272727272728,2,160
304559,304561,2,2,100,1,44,0.022727272727272728,2,100
318679,318683,4,4,32,1,60,0.016666666666666666,4,32
365513,365527,14,6,6,11,60,0.18333333333333332,14,8 8 24 12 8 16 40 8 8 12 6
380657,380707,50,2,3,32,44,0.7272727272727273,50,8 4 24 8 4 4 48 8 20 8 12 4 16 4 18 16 8 6 12 4 4 16 32 12 12 4 12 16 8 4 80 3
383459,383483,24,2,4,18,44,0.4090909090909091,24,96 6 8 12 8 8 16 8 12 16 16 8 30 8 32 12 6 4
388961,388963,2,2,50,1,44,0.022727272727272728,2,50
405817,405827,10,4,8,6,60,0.1,10,24 12 24 16 16 8
415799,415801,2,2,192,1,44,0.022727272727272728,2,192
416839,416849,10,4,8,7,60,0.11666666666666667,10,32 16 16 12 18 24 8
453599,453601,2,2,180,1,44,0.022727272727272728,2,180
493177,493193,16,4,6,14,60,0.23333333333333334,16,8 8 12 8 16 8 16 48 8 8 24 8 16 6
527941,527981,40,6,4,18,60,0.3,40,12 8 8 16 8 8 12 6 12 6 40 8 16 16 36 8 20 4
541283,541301,18,6,6,14,60,0.23333333333333334,18,24 8 8 12 16 8 16 8 12 8 16 8 80 6
566653,566659,6,4,12,4,60,0.06666666666666667,6,16 16 32 12
571199,571201,2,2,168,1,44,0.022727272727272728,2,168
602321,602333,12,2,6,11,44,0.25,12,16 8 12 18 8 8 16 8 32 16 6
617471,617473,2,2,66,1,44,0.022727272727272728,2,66
618253,618257,4,4,20,3,60,0.05,4,32 24 20
632147,632153,6,2,16,2,44,0.045454545454545456,6,24 16
670031,670037,6,2,12,5,44,0.11363636363636363,6,100 16 16 16 12
675839,675841,2,2,104,1,44,0.022727272727272728,2,104
707573,707627,54,6,4,20,60,0.3333333333333333,54,32 24 16 8 8 8 36 8 8 8 22 8 32 8 24 16 16 8 16 4
724991,724993,2,2,52,1,44,0.022727272727272728,2,52
779663,779693,30,6,3,26,60,0.43333333333333335,30,40 16 8 16 6 4 24 4 8 8 8 12 24 8 4 16 48 8 16 8 12 16 8 4 144 3
783359,783361,2,2,132,1,44,0.022727272727272728,2,132
786431,786433,2,2,38,1,44,0.022727272727272728,2,38
814243,814279,36,4,4,22,60,0.36666666666666664,36,12 16 16 8 48 8 16 8 6 8 16 8 10 6 8 8 48 8 16 8 32 4
824227,824231,4,4,32,2,60,0.03333333333333333,4,36 32
824939,824947,8,2,8,7,44,0.1590909090909091,8,36 16 16 16 20 16 8
825551,825553,2,2,150,1,44,0.022727272727272728,2,150
829883,829949,66,6,3,38,60,0.6333333333333333,66,24 16 8 4 14 4 24 4 24 8 16 16 32 4 4 16 36 8 16 4 10 16 32 4 18 4 16 4 16 6 8 4 6 24 4 4 192 3
869053,869059,6,4,12,5,60,0.08333333333333333,6,16 32 28 16 12
873421,873427,6,6,16,5,60,0.08333333333333333,6,24 20 20 36 16
886349,886367,18,2,6,12,44,0.2727272727272727,18,48 8 20 8 8 8 48 8 8 8 16 6
946727,946733,6,2,9,2,44,0.045454545454545456,6,48 9
957599,957601,2,2,216,1,44,0.022727272727272728,2,216
995327,995329,2,2,78,1,44,0.022727272727272728,2,78
